hochua,gio,ngay,LVS,muc_nuoc,luu_luong_den_ho,luu_luong_xa
An Khê,14,05/10/2019,Ba,427.73,3.15,4
An Khê,15,05/10/2019,Ba,427.73,3.15,4
An Khê,16,05/10/2019,Ba,427.73,3.15,4
An Khê,17,05/10/2019,Ba,427.73,3.15,4
An Khê,18,05/10/2019,Ba,427.73,3.15,4
An Khê,19,05/10/2019,Ba,427.72,2.86,15.9
An Khê,20,05/10/2019,Ba,427.72,2.87,13.5
An Khê,21,05/10/2019,Ba,427.72,2.83,4
An Khê,22,05/10/2019,Ba,427.72,2.83,4
An Khê,23,05/10/2019,Ba,427.71,2,4
An Khê,0,06/10/2019,Ba,427.71,2,4
An Khê,1,06/10/2019,Ba,427.7,2,4
An Khê,2,06/10/2019,Ba,427.7,2,4
An Khê,3,06/10/2019,Ba,427.69,2,4
An Khê,4,06/10/2019,Ba,427.69,2,4
An Khê,5,06/10/2019,Ba,427.68,2,4
An Khê,6,06/10/2019,Ba,427.68,2,4
An Khê,7,06/10/2019,Ba,427.68,2.3,4
An Khê,8,06/10/2019,Ba,427.68,2.3,4
An Khê,9,06/10/2019,Ba,427.67,2.3,4
An Khê,10,06/10/2019,Ba,427.67,2.3,4
An Khê,11,06/10/2019,Ba,427.67,2.3,4
An Khê,12,06/10/2019,Ba,427.67,2.3,4
An Khê,13,06/10/2019,Ba,427.66,1.97,4
An Khê,14,06/10/2019,Ba,427.66,1.97,4
An Khê,15,06/10/2019,Ba,427.66,1.97,4
An Khê,16,06/10/2019,Ba,427.66,1.97,4
An Khê,17,06/10/2019,Ba,427.65,1.85,4
An Khê,18,06/10/2019,Ba,427.64,1.8,12.3
An Khê,19,06/10/2019,Ba,427.63,1.76,10.6
An Khê,20,06/10/2019,Ba,427.63,1.76,4
An Khê,21,06/10/2019,Ba,427.62,1.76,4
An Khê,22,06/10/2019,Ba,427.62,1.78,4
An Khê,23,06/10/2019,Ba,427.62,1.78,4
An Khê,0,07/10/2019,Ba,427.62,2.37,4
An Khê,1,07/10/2019,Ba,427.63,11.22,4
An Khê,2,07/10/2019,Ba,427.63,6.3,4
An Khê,3,07/10/2019,Ba,427.63,4,4
An Khê,4,07/10/2019,Ba,427.63,4,4
An Khê,5,07/10/2019,Ba,427.63,4,4
An Khê,6,07/10/2019,Ba,427.63,4,4
An Khê,7,07/10/2019,Ba,427.61,4.36,18.8
An Khê,8,07/10/2019,Ba,427.58,6.33,28
An Khê,9,07/10/2019,Ba,427.55,6.33,28
An Khê,10,07/10/2019,Ba,427.52,6.33,28
An Khê,11,07/10/2019,Ba,427.48,3.52,28
An Khê,12,07/10/2019,Ba,427.44,1.33,28
An Khê,13,07/10/2019,Ba,427.42,2.47,28
An Khê,14,07/10/2019,Ba,427.41,2.25,28
An Khê,15,07/10/2019,Ba,427.41,12.76,28
An Khê,16,07/10/2019,Ba,427.41,28,28
An Khê,17,07/10/2019,Ba,427.41,28,28
An Khê,18,07/10/2019,Ba,427.42,34.67,28
An Khê,19,07/10/2019,Ba,427.43,34.67,28
An Khê,20,07/10/2019,Ba,427.44,34.67,28
An Khê,21,07/10/2019,Ba,427.45,34.67,28
An Khê,22,07/10/2019,Ba,427.46,33.87,27.2
An Khê,23,07/10/2019,Ba,427.49,24,4
An Khê,0,08/10/2019,Ba,427.51,17.89,4
An Khê,1,08/10/2019,Ba,427.54,25.67,4
An Khê,2,08/10/2019,Ba,427.57,25.67,4
An Khê,3,08/10/2019,Ba,427.6,25.67,4
An Khê,4,08/10/2019,Ba,427.63,25.67,4
An Khê,5,08/10/2019,Ba,427.66,25.67,4
An Khê,6,08/10/2019,Ba,427.68,18.44,4
An Khê,7,08/10/2019,Ba,427.69,11.22,4
An Khê,8,08/10/2019,Ba,427.69,4,4
An Khê,9,08/10/2019,Ba,427.68,2.87,4
An Khê,10,08/10/2019,Ba,427.68,2.87,4
An Khê,11,08/10/2019,Ba,427.67,2.56,4
An Khê,12,08/10/2019,Ba,427.67,2.45,4
An Khê,13,08/10/2019,Ba,427.66,2.3,4
An Khê,14,08/10/2019,Ba,427.66,2.3,4
An Khê,15,08/10/2019,Ba,427.65,2.2,4
An Khê,16,08/10/2019,Ba,427.65,2.3,4
An Khê,17,08/10/2019,Ba,427.65,3.2,4
An Khê,18,08/10/2019,Ba,427.65,4,4
An Khê,19,08/10/2019,Ba,427.65,4,4
An Khê,20,08/10/2019,Ba,427.65,4,4
An Khê,21,08/10/2019,Ba,427.64,3.2,4
An Khê,22,08/10/2019,Ba,427.64,4,4
An Khê,23,08/10/2019,Ba,427.64,4,4
An Khê,0,09/10/2019,Ba,427.64,4,4
An Khê,1,09/10/2019,Ba,427.65,11.22,4
An Khê,2,09/10/2019,Ba,427.67,18.44,4
An Khê,3,09/10/2019,Ba,427.69,18.44,4
An Khê,4,09/10/2019,Ba,427.71,18.44,4
An Khê,5,09/10/2019,Ba,427.73,18.44,4
An Khê,6,09/10/2019,Ba,427.73,4,4
An Khê,7,09/10/2019,Ba,427.72,3.4,4
An Khê,8,09/10/2019,Ba,427.72,3.8,4
An Khê,9,09/10/2019,Ba,427.72,4,4
An Khê,10,09/10/2019,Ba,427.72,4,4
An Khê,11,09/10/2019,Ba,427.72,4,4
An Khê,12,09/10/2019,Ba,427.72,4,4
An Khê,13,09/10/2019,Ba,427.72,4,4
An Khê,14,09/10/2019,Ba,427.7,5.16,19.6
An Khê,15,09/10/2019,Ba,427.67,6.33,28
An Khê,16,09/10/2019,Ba,427.63,4.5,28
An Khê,17,09/10/2019,Ba,427.59,4.7,28
An Khê,18,09/10/2019,Ba,427.56,6.33,28
An Khê,19,09/10/2019,Ba,427.53,6.33,28
An Khê,20,09/10/2019,Ba,427.5,6.33,28
An Khê,21,09/10/2019,Ba,427.47,6.33,28
An Khê,22,09/10/2019,Ba,427.45,10.2,28
An Khê,23,09/10/2019,Ba,427.44,21.33,28
An Khê,0,10/10/2019,Ba,427.46,28.53,15.2
An Khê,1,10/10/2019,Ba,427.48,17.33,4
An Khê,2,10/10/2019,Ba,427.5,17.33,4
An Khê,3,10/10/2019,Ba,427.5,4,4
An Khê,4,10/10/2019,Ba,427.5,4,4
An Khê,5,10/10/2019,Ba,427.5,4,4
An Khê,6,10/10/2019,Ba,427.5,4,4
An Khê,7,10/10/2019,Ba,427.5,4,4
An Khê,8,10/10/2019,Ba,427.47,3.7,22.4
An Khê,9,10/10/2019,Ba,427.44,4.2,28
An Khê,10,10/10/2019,Ba,427.41,4.3,28
An Khê,11,10/10/2019,Ba,427.38,4.3,28
An Khê,12,10/10/2019,Ba,427.35,4.5,28
An Khê,13,10/10/2019,Ba,427.32,5.2,28
An Khê,14,10/10/2019,Ba,427.3,14.67,28
An Khê,15,10/10/2019,Ba,427.29,21.33,28
An Khê,16,10/10/2019,Ba,427.29,28,28
An Khê,17,10/10/2019,Ba,427.3,30.2,28
An Khê,18,10/10/2019,Ba,427.31,32.3,28
An Khê,19,10/10/2019,Ba,427.32,34.67,28
An Khê,20,10/10/2019,Ba,427.32,28,28
An Khê,21,10/10/2019,Ba,427.32,28,28
An Khê,22,10/10/2019,Ba,427.32,28,28
An Khê,23,10/10/2019,Ba,427.34,22.93,28
An Khê,0,11/10/2019,Ba,427.37,24,4
An Khê,1,11/10/2019,Ba,427.39,17.33,4
An Khê,2,11/10/2019,Ba,427.41,17.33,4
An Khê,3,11/10/2019,Ba,427.43,17.33,4
An Khê,4,11/10/2019,Ba,427.45,17.33,4
An Khê,5,11/10/2019,Ba,427.47,17.33,4
An Khê,6,11/10/2019,Ba,427.48,10.67,4
An Khê,7,11/10/2019,Ba,427.47,4.13,10.8
An Khê,8,11/10/2019,Ba,427.43,1.33,28
An Khê,9,11/10/2019,Ba,427.39,1.33,28
An Khê,10,11/10/2019,Ba,427.37,3.8,28
An Khê,11,11/10/2019,Ba,427.35,4.1,28
An Khê,12,11/10/2019,Ba,427.33,4.1,28
An Khê,13,11/10/2019,Ba,427.31,4.1,28
An Khê,14,11/10/2019,Ba,427.29,7.22,28
An Khê,15,11/10/2019,Ba,427.27,14.67,28
An Khê,16,11/10/2019,Ba,427.27,24,28
An Khê,17,11/10/2019,Ba,427.27,28,28
An Khê,18,11/10/2019,Ba,427.28,34.67,28
An Khê,19,11/10/2019,Ba,427.29,34.67,28
An Khê,20,11/10/2019,Ba,427.3,34.67,28
An Khê,21,11/10/2019,Ba,427.31,34.67,28
An Khê,22,11/10/2019,Ba,427.32,34.67,28
An Khê,23,11/10/2019,Ba,427.33,34.67,28
An Khê,0,12/10/2019,Ba,427.34,34.67,28
An Khê,1,12/10/2019,Ba,427.35,34.67,28
An Khê,2,12/10/2019,Ba,427.37,31.33,18
An Khê,3,12/10/2019,Ba,427.41,30.67,4
An Khê,4,12/10/2019,Ba,427.43,17.33,4
An Khê,5,12/10/2019,Ba,427.45,17.33,4
An Khê,6,12/10/2019,Ba,427.47,17.33,4
An Khê,7,12/10/2019,Ba,427.48,10.67,4
An Khê,8,12/10/2019,Ba,427.46,5.78,22.4
An Khê,9,12/10/2019,Ba,427.43,5.82,28
An Khê,10,12/10/2019,Ba,427.4,5.82,28
An Khê,11,12/10/2019,Ba,427.37,5.1,28
An Khê,12,12/10/2019,Ba,427.34,4.3,28
An Khê,13,12/10/2019,Ba,427.31,4.3,28
An Khê,14,12/10/2019,Ba,427.29,7.87,28
An Khê,15,12/10/2019,Ba,427.28,16.8,28
An Khê,16,12/10/2019,Ba,427.28,23.6,28
An Khê,17,12/10/2019,Ba,427.28,28,28
An Khê,18,12/10/2019,Ba,427.29,34.67,28
An Khê,19,12/10/2019,Ba,427.3,34.67,28
An Khê,20,12/10/2019,Ba,427.31,34.67,28
An Khê,21,12/10/2019,Ba,427.32,34.67,28
An Khê,22,12/10/2019,Ba,427.33,34.67,28
An Khê,23,12/10/2019,Ba,427.34,31.37,24.7
An Khê,0,13/10/2019,Ba,427.35,30.17,23.5
An Khê,1,13/10/2019,Ba,427.36,30.17,23.5
An Khê,2,13/10/2019,Ba,427.37,30.17,23.5
An Khê,3,13/10/2019,Ba,427.4,26.6,6.6
An Khê,4,13/10/2019,Ba,427.42,20.83,7.5
An Khê,5,13/10/2019,Ba,427.41,18.33,25
An Khê,6,13/10/2019,Ba,427.4,18.33,25
An Khê,7,13/10/2019,Ba,427.37,5.68,19.8
An Khê,8,13/10/2019,Ba,427.36,3.3,4
An Khê,9,13/10/2019,Ba,427.36,3.3,4
An Khê,10,13/10/2019,Ba,427.36,3.3,4
An Khê,11,13/10/2019,Ba,427.33,2.2,22.2
An Khê,12,13/10/2019,Ba,427.3,5,25
An Khê,13,13/10/2019,Ba,427.27,5,25
An Khê,14,13/10/2019,Ba,427.24,5,25
An Khê,15,13/10/2019,Ba,427.21,5,25
An Khê,16,13/10/2019,Ba,427.19,5.62,25
An Khê,17,13/10/2019,Ba,427.17,5.62,25
An Khê,18,13/10/2019,Ba,427.15,5.62,25
An Khê,19,13/10/2019,Ba,427.13,5.62,25
An Khê,20,13/10/2019,Ba,427.11,5.62,25
An Khê,21,13/10/2019,Ba,427.09,4.87,25
An Khê,22,13/10/2019,Ba,427.08,2.93,9.6
An Khê,23,13/10/2019,Ba,427.08,2.45,4
An Khê,0,14/10/2019,Ba,427.07,2.2,4
An Khê,1,14/10/2019,Ba,427.07,2.2,4
An Khê,2,14/10/2019,Ba,427.06,2.2,4
An Khê,3,14/10/2019,Ba,427.06,2.2,4
An Khê,4,14/10/2019,Ba,427.05,3.86,4
An Khê,5,14/10/2019,Ba,427.05,3.86,4
An Khê,6,14/10/2019,Ba,427.04,3.86,4
An Khê,7,14/10/2019,Ba,427.04,3.86,4
An Khê,8,14/10/2019,Ba,427.03,3.3,4
An Khê,9,14/10/2019,Ba,427.03,3.3,4
An Khê,10,14/10/2019,Ba,427.02,3.3,4
An Khê,11,14/10/2019,Ba,427.02,3.3,4
An Khê,12,14/10/2019,Ba,427.02,4,4
An Khê,13,14/10/2019,Ba,427.02,4,4
An Khê,14,14/10/2019,Ba,427.02,3.7,8.2
An Khê,15,14/10/2019,Ba,427.02,3.78,25
An Khê,16,14/10/2019,Ba,427.03,7.83,25
An Khê,17,14/10/2019,Ba,427.04,8.87,25
An Khê,18,14/10/2019,Ba,427.05,9.87,25
An Khê,19,14/10/2019,Ba,427.06,10.85,25
An Khê,20,14/10/2019,Ba,427.07,31.67,25
An Khê,21,14/10/2019,Ba,427.08,31.67,25
An Khê,22,14/10/2019,Ba,427.09,31.67,25
An Khê,23,14/10/2019,Ba,427.1,31.67,25
An Khê,0,15/10/2019,Ba,427.11,31.67,25
An Khê,1,15/10/2019,Ba,427.12,31.67,25
An Khê,2,15/10/2019,Ba,427.12,30.8,25
An Khê,3,15/10/2019,Ba,427.13,31.67,25
An Khê,4,15/10/2019,Ba,427.13,31.1,25
An Khê,5,15/10/2019,Ba,427.14,31.05,25
An Khê,6,15/10/2019,Ba,427.14,31.2,25
An Khê,7,15/10/2019,Ba,427.15,31.03,25
An Khê,8,15/10/2019,Ba,427.15,31.05,25
An Khê,9,15/10/2019,Ba,427.16,31.03,25
An Khê,10,15/10/2019,Ba,427.16,31.05,27.6
An Khê,11,15/10/2019,Ba,427.16,31.01,28
An Khê,12,15/10/2019,Ba,427.16,31.03,28
An Khê,13,15/10/2019,Ba,427.16,31.04,28
An Khê,14,15/10/2019,Ba,427.16,31.03,28
An Khê,15,15/10/2019,Ba,427.19,31.04,28
An Khê,16,15/10/2019,Ba,427.19,31.03,28
An Khê,17,15/10/2019,Ba,427.2,31.03,28
An Khê,18,15/10/2019,Ba,427.2,31.03,28
An Khê,19,15/10/2019,Ba,427.21,31.03,28
An Khê,20,15/10/2019,Ba,427.21,31.05,28
An Khê,21,15/10/2019,Ba,427.22,31.05,28
An Khê,22,15/10/2019,Ba,427.22,31.05,28
An Khê,23,15/10/2019,Ba,427.23,31.05,28
An Khê,0,16/10/2019,Ba,427.23,31.05,28
An Khê,1,16/10/2019,Ba,427.24,34.67,28
An Khê,2,16/10/2019,Ba,427.25,34.67,28
An Khê,3,16/10/2019,Ba,427.26,34.67,28
An Khê,4,16/10/2019,Ba,427.27,34.67,28
An Khê,5,16/10/2019,Ba,427.28,34.67,28
An Khê,6,16/10/2019,Ba,427.29,34.67,28
An Khê,7,16/10/2019,Ba,427.3,34.67,28
An Khê,8,16/10/2019,Ba,427.31,34.67,28
An Khê,9,16/10/2019,Ba,427.32,34.67,28
An Khê,10,16/10/2019,Ba,427.33,34.67,28
An Khê,11,16/10/2019,Ba,427.34,34.67,28
An Khê,12,16/10/2019,Ba,427.35,34.67,28
An Khê,13,16/10/2019,Ba,427.36,34.67,28
An Khê,14,16/10/2019,Ba,427.37,34.67,28
An Khê,15,16/10/2019,Ba,427.38,34.67,28
An Khê,16,16/10/2019,Ba,427.39,34.67,28
An Khê,17,16/10/2019,Ba,427.4,34.67,28
An Khê,18,16/10/2019,Ba,427.41,34.67,28
An Khê,19,16/10/2019,Ba,427.42,34.67,28
An Khê,20,16/10/2019,Ba,427.43,34.67,28
An Khê,21,16/10/2019,Ba,427.44,34.67,28
An Khê,22,16/10/2019,Ba,427.44,32.01,28
An Khê,23,16/10/2019,Ba,427.45,32.42,28
An Khê,0,17/10/2019,Ba,427.45,32.42,28
An Khê,1,17/10/2019,Ba,427.47,35.7,28
An Khê,2,17/10/2019,Ba,427.49,38.3,28
An Khê,3,17/10/2019,Ba,427.51,41.89,28
An Khê,4,17/10/2019,Ba,427.53,42.44,28
An Khê,5,17/10/2019,Ba,427.6,78.56,28
An Khê,6,17/10/2019,Ba,427.69,93,28
An Khê,7,17/10/2019,Ba,427.83,129.11,28
An Khê,8,17/10/2019,Ba,427.99,143.56,28
An Khê,9,17/10/2019,Ba,428.11,140.34,38.4
An Khê,10,17/10/2019,Ba,428.22,142.22,47.5
An Khê,11,17/10/2019,Ba,428.33,142.67,48
An Khê,12,17/10/2019,Ba,428.5,198.39,52
An Khê,13,17/10/2019,Ba,428.65,181.17,52
An Khê,14,17/10/2019,Ba,428.75,138.11,52
An Khê,15,17/10/2019,Ba,428.8,95.06,52
An Khê,16,17/10/2019,Ba,428.83,77.83,52
An Khê,17,17/10/2019,Ba,428.86,77.83,52
An Khê,18,17/10/2019,Ba,428.88,69.22,52
An Khê,19,17/10/2019,Ba,428.89,60.61,52
An Khê,20,17/10/2019,Ba,428.9,60.61,52
An Khê,21,17/10/2019,Ba,428.91,60.61,52
An Khê,22,17/10/2019,Ba,428.92,60.61,52
An Khê,23,17/10/2019,Ba,428.92,52,52
An Khê,0,18/10/2019,Ba,428.92,52,52
An Khê,1,18/10/2019,Ba,428.92,52,52
An Khê,2,18/10/2019,Ba,428.91,48.39,52
An Khê,3,18/10/2019,Ba,428.91,52,52
An Khê,4,18/10/2019,Ba,428.9,47.53,52
An Khê,5,18/10/2019,Ba,428.89,43.39,52
An Khê,6,18/10/2019,Ba,428.88,43.39,52
An Khê,7,18/10/2019,Ba,428.87,43.39,52
An Khê,8,18/10/2019,Ba,428.86,43.39,52
An Khê,9,18/10/2019,Ba,428.86,52,52
An Khê,10,18/10/2019,Ba,428.86,52,52
An Khê,11,18/10/2019,Ba,428.85,44.35,52
An Khê,12,18/10/2019,Ba,428.83,34.78,52
An Khê,13,18/10/2019,Ba,428.8,26.17,52
An Khê,14,18/10/2019,Ba,428.78,37.85,52
An Khê,15,18/10/2019,Ba,428.77,45.76,52
An Khê,16,18/10/2019,Ba,428.75,38.54,52
An Khê,17,18/10/2019,Ba,428.73,35.67,52
An Khê,18,18/10/2019,Ba,428.71,36.58,52
An Khê,19,18/10/2019,Ba,428.69,33.95,52
An Khê,20,18/10/2019,Ba,428.67,34.78,52
An Khê,21,18/10/2019,Ba,428.64,26.17,52
An Khê,22,18/10/2019,Ba,428.62,24.38,41.6
An Khê,23,18/10/2019,Ba,428.6,10.78,28
An Khê,0,19/10/2019,Ba,428.58,10.78,28
An Khê,1,19/10/2019,Ba,428.56,10.78,28
An Khê,2,19/10/2019,Ba,428.53,4.17,28
An Khê,3,19/10/2019,Ba,428.51,10.78,28
An Khê,4,19/10/2019,Ba,428.48,4.17,28
An Khê,5,19/10/2019,Ba,428.46,10.78,28
An Khê,6,19/10/2019,Ba,428.43,4.17,28
An Khê,7,19/10/2019,Ba,428.4,4.17,28
An Khê,8,19/10/2019,Ba,428.37,10.17,36
An Khê,9,19/10/2019,Ba,428.34,26.17,52
An Khê,10,19/10/2019,Ba,428.31,26.17,52
An Khê,11,19/10/2019,Ba,428.28,26.17,52
An Khê,12,19/10/2019,Ba,428.25,23.52,49.4
An Khê,13,19/10/2019,Ba,428.22,23.17,49
An Khê,14,19/10/2019,Ba,428.19,23.17,49
An Khê,15,19/10/2019,Ba,428.16,23.17,49
An Khê,16,19/10/2019,Ba,428.14,31.78,49
An Khê,17,19/10/2019,Ba,428.12,31.18,48.4
An Khê,18,19/10/2019,Ba,428.1,28.78,46
An Khê,19,19/10/2019,Ba,428.08,28.78,46
An Khê,20,19/10/2019,Ba,428.06,28.78,46
An Khê,21,19/10/2019,Ba,428.04,28.78,46
An Khê,22,19/10/2019,Ba,428.02,28.78,46
An Khê,23,19/10/2019,Ba,428.01,37.39,46
An Khê,0,20/10/2019,Ba,428,37.39,46
An Khê,1,20/10/2019,Ba,428,46,46
An Khê,2,20/10/2019,Ba,428.02,45.37,28.2
An Khê,3,20/10/2019,Ba,428.04,42.22,25
An Khê,4,20/10/2019,Ba,428.06,42.22,25
An Khê,5,20/10/2019,Ba,428.09,50.83,25
An Khê,6,20/10/2019,Ba,428.12,50.83,25
An Khê,7,20/10/2019,Ba,428.15,50.83,25
An Khê,8,20/10/2019,Ba,428.17,42.22,25
An Khê,9,20/10/2019,Ba,428.19,42.22,25
An Khê,10,20/10/2019,Ba,428.2,33.61,25
An Khê,11,20/10/2019,Ba,428.19,37.04,45.7
An Khê,12,20/10/2019,Ba,428.19,46,46
An Khê,13,20/10/2019,Ba,428.19,46,46
An Khê,14,20/10/2019,Ba,428.19,46,46
An Khê,15,20/10/2019,Ba,428.19,46,46
An Khê,16,20/10/2019,Ba,428.19,46,46
An Khê,17,20/10/2019,Ba,428.19,46,46
An Khê,18,20/10/2019,Ba,428.19,46,46
An Khê,19,20/10/2019,Ba,428.18,37.39,46
An Khê,20,20/10/2019,Ba,428.18,46,46
An Khê,21,20/10/2019,Ba,428.18,46,46
An Khê,22,20/10/2019,Ba,428.18,46,46
An Khê,23,20/10/2019,Ba,428.17,37.39,46
An Khê,0,21/10/2019,Ba,428.17,46,46
An Khê,1,21/10/2019,Ba,428.17,46,46
An Khê,2,21/10/2019,Ba,428.17,46,46
An Khê,3,21/10/2019,Ba,428.16,37.39,46
An Khê,4,21/10/2019,Ba,428.16,46,46
An Khê,5,21/10/2019,Ba,428.16,46,46
An Khê,6,21/10/2019,Ba,428.15,37.39,46
An Khê,7,21/10/2019,Ba,428.14,37.39,46
An Khê,8,21/10/2019,Ba,428.13,37.39,46
An Khê,9,21/10/2019,Ba,428.12,37.39,46
An Khê,10,21/10/2019,Ba,428.11,37.39,46
An Khê,11,21/10/2019,Ba,428.1,37.39,46
An Khê,12,21/10/2019,Ba,428.09,37.39,46
An Khê,13,21/10/2019,Ba,428.08,37.39,46
An Khê,14,21/10/2019,Ba,428.07,37.39,46
An Khê,15,21/10/2019,Ba,428.06,37.39,46
An Khê,16,21/10/2019,Ba,428.05,37.39,46
An Khê,17,21/10/2019,Ba,428.04,37.39,46
An Khê,18,21/10/2019,Ba,428.03,37.39,46
An Khê,19,21/10/2019,Ba,428.02,37.39,46
An Khê,20,21/10/2019,Ba,428.01,37.39,46
An Khê,21,21/10/2019,Ba,428,37.39,46
An Khê,22,21/10/2019,Ba,427.99,38.78,46
An Khê,23,21/10/2019,Ba,427.98,38.78,46
An Khê,0,22/10/2019,Ba,427.97,38.78,46
An Khê,1,22/10/2019,Ba,427.98,37.12,29.9
An Khê,2,22/10/2019,Ba,427.99,35.22,25
An Khê,3,22/10/2019,Ba,428,35.22,25
An Khê,4,22/10/2019,Ba,428.01,33.61,25
An Khê,5,22/10/2019,Ba,428.02,33.61,25
An Khê,6,22/10/2019,Ba,428.03,33.61,25
An Khê,7,22/10/2019,Ba,428.04,33.61,25
An Khê,8,22/10/2019,Ba,428.03,34.39,46
An Khê,9,22/10/2019,Ba,428.02,34.62,46
An Khê,10,22/10/2019,Ba,428.01,34.87,46
An Khê,11,22/10/2019,Ba,428,34.97,46
An Khê,12,22/10/2019,Ba,427.99,35.07,46
An Khê,13,22/10/2019,Ba,427.98,35.24,46
An Khê,14,22/10/2019,Ba,427.97,35.37,46
An Khê,15,22/10/2019,Ba,427.96,35.42,46
An Khê,16,22/10/2019,Ba,427.95,35.58,46
An Khê,17,22/10/2019,Ba,427.94,35.74,46
An Khê,18,22/10/2019,Ba,427.93,35.83,46
An Khê,19,22/10/2019,Ba,427.92,35.8,46
